Job Profile,Company,Location,CTC,EXPERIENCE,LOGO
Junior Motion Graphics Manager,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 2,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
Associate Graphic Designer,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 2,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
Business Development Executive,Gainers Realtors LLP,Gurgaon,"₹ 2,40,000 - 4,60,000",0-2 years,none
Senior PHP Developer,Brandzzy SoftTech Private Limited,Bhubaneswar,"₹ 5,00,000",3-5 years,none
Community Manager,ASOWin,"Delhi, Greater Noida, Noida","₹ 2,00,000 - 3,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F6483149a9d1e51686312090.png.webp
Video Editor,Bluntly Streaming,"Delhi, Gurgaon, Noida","₹ 2,00,000 - 3,50,000",0 years,none
Associate Content Writer,Slaughter & Fox,Kolkata,"₹ 7,00,000 - 10,00,000",2-5 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd965c0371580195222.png.webp
Video Editor,Fusion Beauty,Delhi,"₹ 2,00,000 - 3,00,000",0-5 years,none
Telecaller,Fabulous Media Private Limited,Gurgaon,"₹ 2,00,000 - 3,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcdca69771580195036.png.webp
Accounts,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 2,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
Academic Counsellor,J. P. CLASSES,Mumbai,"₹ 2,04,000 - 3,60,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F8f291wo7lag-19304.jpg.webp
Psychologist,No Worry No Tension Healthcare Private Limited,Delhi,"₹ 3,00,000 - 4,00,000",1-4 years,https://internshala-uploads.internshala.com/logo%2F61b84c0d885b21639468045.png.webp
Accountant,R J Gala & Associates,Mumbai,"₹ 2,00,000 - 2,40,000",1-2 years,none
Content & E-commerce Management Associate,Cloth Trails India,Chennai,"₹ 2,00,000 - 3,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F64086a08558321678273032.png.webp
